"symbol","date","open","high","low","close","volume","adjusted","year","percent_change"
"AAPL",1994-01-25,0.310268,0.3125,0.296875,0.302455,442332800,0.24997,1994,NA
"AAPL",1995-01-03,0.347098,0.347098,0.33817,0.342634,103868800,0.287166,1995,0.129527868898129
"AAPL",1996-01-02,0.287946,0.287946,0.283482,0.28683,139294400,0.24314,1996,-0.181072633050917
"AAPL",1997-01-02,0.188616,0.189732,0.185268,0.1875,143113600,0.15894,1997,-0.529759657732478
"AAPL",1998-01-02,0.121652,0.145089,0.120536,0.145089,718110400,0.122989,1998,-0.292310694452349
"AAPL",1999-01-04,0.376116,0.377232,0.357143,0.368304,952884800,0.312204,1999,0.606062061985112
"AAPL",2000-01-03,0.936384,1.004464,0.907924,0.999442,535796800,0.847207,2000,0.631490296940417
"AAPL",2001-01-02,0.265625,0.272321,0.260045,0.265625,452312000,0.225165,2001,-2.76260520063065
"AAPL",2002-01-02,0.39375,0.416071,0.392143,0.416071,529496800,0.352695,2002,0.361587207076936
"AAPL",2003-01-02,0.256429,0.266429,0.25625,0.264286,181428800,0.22403,2003,-0.574320403517386
"AAPL",2004-01-02,0.384821,0.388393,0.378214,0.38,144642400,0.322118,2004,0.304509527564433
"AAPL",2005-01-03,1.156786,1.162679,1.117857,1.130179,691992000,0.95803,2005,0.663770445601912
"AAPL",2006-01-03,2.585,2.669643,2.580357,2.669643,807234400,2.263002,2006,0.57665525704352
"AAPL",2007-01-03,3.081786,3.092143,2.925,2.992857,1238319600,2.536985,2007,0.10799551436055
"AAPL",2008-01-02,7.116786,7.152143,6.876786,6.958571,1079178800,5.89864,2008,0.569903401462032
"AAPL",2009-01-02,3.067143,3.251429,3.041429,3.241071,746015200,2.74739,2009,-1.14699769599511
"AAPL",2010-01-04,7.6225,7.660714,7.585,7.643214,493729600,6.478997,2010,0.575954426279253
"AAPL",2011-01-03,11.63,11.795,11.601429,11.770357,445138400,9.977493,2011,0.350638782708242
"AAPL",2012-01-03,14.621429,14.732143,14.607143,14.686786,302220800,12.449691,2012,0.198575048971095
"AAPL",2013-01-02,19.779285,19.821428,19.343929,19.608213,560518000,16.769096,2013,0.257581267350369
"AAPL",2014-01-02,19.845715,19.893929,19.715,19.754642,234684800,17.318726,2014,0.0317361681222972
"AAPL",2015-01-02,27.8475,27.860001,26.8375,27.3325,212818400,24.466455,2015,0.292144039665738
"AAPL",2016-01-04,25.6525,26.342501,25.5,26.3375,270597600,23.97747,2016,-0.0203935194163521
"AAPL",2017-01-03,28.950001,29.0825,28.690001,29.0375,115127600,27.023705,2017,0.112724550538129
"AAPL",2018-01-02,42.540001,43.075001,42.314999,43.064999,102223600,40.722878,2018,0.336399922421986
"AAPL",2019-01-02,38.7225,39.712502,38.557499,39.48,148158800,37.893333,2019,-0.0746713148721967
"AAPL",2020-01-02,74.059998,75.150002,73.797501,75.087502,135480400,73.152649,2020,0.481996434606216
"AAPL",2021-01-04,133.520004,133.610001,126.760002,129.410004,143301900,127.164154,2021,0.424738444766439
"AAPL",2022-01-03,177.830002,182.880005,177.710007,182.009995,104487900,179.953888,2022,0.2933514501226
"AAPL",2023-01-03,130.279999,130.899994,124.169998,125.07,112117500,124.374809,2023,-0.44686765307917
"AAPL",2024-01-02,187.149994,188.440002,183.889999,185.639999,82488700,185.639999,2024,0.33002149499042
